2023-11-16 10:06:11.547058,299
2023-11-16 10:18:54.720332,733
2023-11-16 10:31:25.472500,969
2023-11-16 10:40:54.443266,1328
2023-11-16 10:49:58.649299,1604
2023-11-16 10:59:10.876337,1704
2023-11-16 11:10:03.113116,1897
2023-11-16 11:19:47.888850,1988
2023-11-16 11:29:04.941342,1888
2023-11-16 11:38:07.443863,1766
2023-11-16 11:46:59.628322,1679
2023-11-16 11:56:06.145512,1503
2023-11-16 12:08:36.192879,1354
2023-11-16 12:24:07.960531,1222
2023-11-16 12:41:21.211713,1078
2023-11-16 12:54:58.417274,912
2023-11-16 13:07:09.192404,765
2023-11-16 13:20:51.090527,599
